Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Chal Guru Ho Jaa Shuru,2015.0,127.0,Comedy,4.9,45.0,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala,5.838155136268345,5.26,4.9,4.9,5.6
Chal Mere Bhai,2000.0,136.0,Comedy,4.7,3128.0,David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor,5.838155136268345,5.258333333333334,5.255357142857143,5.294117647058823,4.335714285714286
Chal Pichchur Banate Hain,2012.0,115.0,Comedy,6.1,47.0,Pritish Chakraborty,Sonam Arora,Sagar Bhangade,Mukesh S. Bhatt,5.838155136268345,6.1,6.699999999999999,6.1,6.8
Chala Murari Hero Banne,1977.0,128.0,Comedy,7.0,66.0,Asrani,Asrani,Bindiya Goswami,Satyendra Kapoor,5.838155136268345,5.7,5.076190476190476,6.640000000000001,5.75
Chala Mussaddi - Office Office,2011.0,60.0,Comedy,6.1,346.0,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain,5.838155136268345,6.0,6.1,6.633333333333333,6.1
Chale Chalo,2003.0,150.0,Documentary,8.6,336.0,Satyajit Bhatkal,Ashutosh Gowariker,Aamir Khan,Gracy Singh,7.608333333333333,6.3,8.0,6.7,8.266666666666666
Chalk N Duster,2016.0,130.0,Drama,6.5,676.0,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,6.271282051282052,5.75,5.3,6.389655172413794,5.45
Challo Driver,2012.0,95.0,Comedy,5.9,185.0,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,5.838155136268345,5.9,5.9,5.9,6.253333333333333
Chalo Dilli,2011.0,155.0,Comedy,6.8,3081.0,Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta,5.838155136268345,6.633333333333333,6.115384615384615,5.5,7.05
Chalo Ishq Ladaaye,2002.0,140.0,Action,4.4,522.0,Aziz Sejawal,Govinda,Kader Khan,Rani Mukerji,5.543406229290921,4.788888888888889,4.822916666666667,4.8,6.35
